Rule ID,Entity,Bad Value,Expected Format / Reference,Violation
SF_UNI_001,Time Profile,DUPLICATE,"Example 1: Format does not meet standard (e.g., missing @ in email)",Identify and resolve duplicate entries in 'Time Profile' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_CON_002,Cost Center,INCONSISTENT,Example 2: Value does not match reference data,"Cross-validate 'Cost Center' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_UNI_003,Email,DUPLICATE,"Example 3: Format does not meet standard (e.g., missing @ in email)",Identify and resolve duplicate entries in 'Email' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_UNI_004,Cost Center,DUPLICATE,Example 4: Entity ID duplicated across records,Identify and resolve duplicate entries in 'Cost Center' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_UNI_005,Gender,DUPLICATE,Example 5: Date field is before expected lower limit,Identify and resolve duplicate entries in 'Gender' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_006,Time Profile,,Example 6: Entity ID duplicated across records,"Fill missing 'Time Profile' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_TIM_007,Time Profile,OLD_DATA,Example 7: Field is missing for active employee,Update stale 'Time Profile' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_VAL_008,Email,INVALID_VALUE,Example 8: Value does not match reference data,Ensure 'Email' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_ACC_009,Nationality,APPROXIMATE,Example 9: Date field is before expected lower limit,Validate the 'Nationality' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_ACC_010,Contract Dates,APPROXIMATE,Example 10: Field is missing for active employee,Validate the 'Contract Dates' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_UNI_011,Manager ID,DUPLICATE,Example 11: Field is missing for active employee,Identify and resolve duplicate entries in 'Manager ID' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_012,Time Profile,,Example 12: Hierarchical data shows circular references,"Fill missing 'Time Profile' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_ACC_013,Cost Center,APPROXIMATE,Example 13: Entity ID duplicated across records,Validate the 'Cost Center' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_VAL_014,Position Assignment,INVALID_VALUE,Example 14: Field is missing for active employee,Ensure 'Position Assignment' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_VAL_015,Manager ID,INVALID_VALUE,Example 15: Value does not match reference data,Ensure 'Manager ID' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_UNI_016,Time Profile,DUPLICATE,Example 16: Value does not match reference data,Identify and resolve duplicate entries in 'Time Profile' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_017,Cost Center,,Example 17: Date field is before expected lower limit,"Fill missing 'Cost Center' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_CON_018,Email,INCONSISTENT,Example 18: Field is missing for active employee,"Cross-validate 'Email' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_ACC_019,Time Profile,APPROXIMATE,"Example 19: Format does not meet standard (e.g., missing @ in email)",Validate the 'Time Profile' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_COM_020,Position Assignment,,Example 20: Value does not match reference data,"Fill missing 'Position Assignment' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_CON_021,Nationality,INCONSISTENT,Example 21: Field is missing for active employee,"Cross-validate 'Nationality' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_COM_022,Position Assignment,,Example 22: Value does not match reference data,"Fill missing 'Position Assignment' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_TIM_023,Gender,OLD_DATA,Example 23: Hierarchical data shows circular references,Update stale 'Gender' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_CON_024,Gender,INCONSISTENT,Example 24: Entity ID duplicated across records,"Cross-validate 'Gender' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_UNI_025,Cost Center,DUPLICATE,Example 25: Entity ID duplicated across records,Identify and resolve duplicate entries in 'Cost Center' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_026,Phone Number,,Example 26: Date field is before expected lower limit,"Fill missing 'Phone Number' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_UNI_027,Time Profile,DUPLICATE,Example 27: Hierarchical data shows circular references,Identify and resolve duplicate entries in 'Time Profile' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_ACC_028,Time Profile,APPROXIMATE,Example 28: Entity ID duplicated across records,Validate the 'Time Profile' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_VAL_029,Contract Dates,INVALID_VALUE,Example 29: Hierarchical data shows circular references,Ensure 'Contract Dates' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_TIM_030,Nationality,OLD_DATA,"Example 30: Format does not meet standard (e.g., missing @ in email)",Update stale 'Nationality' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_UNI_031,Cost Center,DUPLICATE,"Example 31: Format does not meet standard (e.g., missing @ in email)",Identify and resolve duplicate entries in 'Cost Center' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_TIM_032,Phone Number,OLD_DATA,Example 32: Entity ID duplicated across records,Update stale 'Phone Number' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_VAL_033,Nationality,INVALID_VALUE,Example 33: Entity ID duplicated across records,Ensure 'Nationality' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_ACC_034,Job Title,APPROXIMATE,Example 34: Value does not match reference data,Validate the 'Job Title' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_UNI_035,Time Profile,DUPLICATE,Example 35: Entity ID duplicated across records,Identify and resolve duplicate entries in 'Time Profile' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_CON_036,Cost Center,INCONSISTENT,Example 36: Entity ID duplicated across records,"Cross-validate 'Cost Center' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_ACC_037,Job Title,APPROXIMATE,Example 37: Value does not match reference data,Validate the 'Job Title' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_ACC_038,Manager ID,APPROXIMATE,Example 38: Date field is before expected lower limit,Validate the 'Manager ID' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_CON_039,Manager ID,INCONSISTENT,Example 39: Field is missing for active employee,"Cross-validate 'Manager ID' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_TIM_040,Time Profile,OLD_DATA,Example 40: Field is missing for active employee,Update stale 'Time Profile' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_UNI_041,Phone Number,DUPLICATE,Example 41: Value does not match reference data,Identify and resolve duplicate entries in 'Phone Number' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_042,Position Assignment,,Example 42: Hierarchical data shows circular references,"Fill missing 'Position Assignment' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_CON_043,Position Assignment,INCONSISTENT,Example 43: Date field is before expected lower limit,"Cross-validate 'Position Assignment' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_UNI_044,Gender,DUPLICATE,Example 44: Date field is before expected lower limit,Identify and resolve duplicate entries in 'Gender' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_CON_045,Gender,INCONSISTENT,Example 45: Date field is before expected lower limit,"Cross-validate 'Gender' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_TIM_046,Contract Dates,OLD_DATA,Example 46: Hierarchical data shows circular references,Update stale 'Contract Dates' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_ACC_047,Cost Center,APPROXIMATE,Example 47: Entity ID duplicated across records,Validate the 'Cost Center' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_COM_048,Gender,,Example 48: Hierarchical data shows circular references,"Fill missing 'Gender' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_ACC_049,Manager ID,APPROXIMATE,Example 49: Field is missing for active employee,Validate the 'Manager ID' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_VAL_050,Contract Dates,INVALID_VALUE,Example 50: Entity ID duplicated across records,Ensure 'Contract Dates' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_VAL_051,Nationality,INVALID_VALUE,Example 51: Field is missing for active employee,Ensure 'Nationality' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_UNI_052,Phone Number,DUPLICATE,Example 52: Value does not match reference data,Identify and resolve duplicate entries in 'Phone Number' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_053,Phone Number,,Example 53: Date field is before expected lower limit,"Fill missing 'Phone Number' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_TIM_054,Position Assignment,OLD_DATA,"Example 54: Format does not meet standard (e.g., missing @ in email)",Update stale 'Position Assignment' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_ACC_055,Gender,APPROXIMATE,"Example 55: Format does not meet standard (e.g., missing @ in email)",Validate the 'Gender' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_TIM_056,Contract Dates,OLD_DATA,"Example 56: Format does not meet standard (e.g., missing @ in email)",Update stale 'Contract Dates' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_COM_057,Contract Dates,,Example 57: Field is missing for active employee,"Fill missing 'Contract Dates' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_COM_058,Email,,Example 58: Value does not match reference data,"Fill missing 'Email' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_CON_059,Time Profile,INCONSISTENT,Example 59: Date field is before expected lower limit,"Cross-validate 'Time Profile' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_TIM_060,Job Title,OLD_DATA,Example 60: Entity ID duplicated across records,Update stale 'Job Title' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_UNI_061,Job Title,DUPLICATE,"Example 61: Format does not meet standard (e.g., missing @ in email)",Identify and resolve duplicate entries in 'Job Title' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_VAL_062,Nationality,INVALID_VALUE,Example 62: Date field is before expected lower limit,Ensure 'Nationality' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_TIM_063,Nationality,OLD_DATA,Example 63: Entity ID duplicated across records,Update stale 'Nationality' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_ACC_064,Cost Center,APPROXIMATE,Example 64: Value does not match reference data,Validate the 'Cost Center' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_CON_065,Nationality,INCONSISTENT,"Example 65: Format does not meet standard (e.g., missing @ in email)","Cross-validate 'Nationality' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_TIM_066,Job Title,OLD_DATA,Example 66: Entity ID duplicated across records,Update stale 'Job Title' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_VAL_067,Job Title,INVALID_VALUE,Example 67: Value does not match reference data,Ensure 'Job Title' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_ACC_068,Nationality,APPROXIMATE,Example 68: Hierarchical data shows circular references,Validate the 'Nationality' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_TIM_069,Position Assignment,OLD_DATA,Example 69: Hierarchical data shows circular references,Update stale 'Position Assignment' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_TIM_070,Cost Center,OLD_DATA,Example 70: Hierarchical data shows circular references,Update stale 'Cost Center' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_COM_071,Manager ID,,Example 71: Value does not match reference data,"Fill missing 'Manager ID' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_ACC_072,Cost Center,APPROXIMATE,Example 72: Value does not match reference data,Validate the 'Cost Center' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_COM_073,Contract Dates,,Example 73: Hierarchical data shows circular references,"Fill missing 'Contract Dates' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_CON_074,Time Profile,INCONSISTENT,"Example 74: Format does not meet standard (e.g., missing @ in email)","Cross-validate 'Time Profile' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_TIM_075,Email,OLD_DATA,Example 75: Hierarchical data shows circular references,Update stale 'Email' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_VAL_076,Contract Dates,INVALID_VALUE,Example 76: Date field is before expected lower limit,Ensure 'Contract Dates' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_ACC_077,Phone Number,APPROXIMATE,Example 77: Value does not match reference data,Validate the 'Phone Number' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_VAL_078,Phone Number,INVALID_VALUE,Example 78: Entity ID duplicated across records,Ensure 'Phone Number' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_CON_079,Time Profile,INCONSISTENT,"Example 79: Format does not meet standard (e.g., missing @ in email)","Cross-validate 'Time Profile' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_ACC_080,Email,APPROXIMATE,Example 80: Hierarchical data shows circular references,Validate the 'Email' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_CON_081,Gender,INCONSISTENT,Example 81: Field is missing for active employee,"Cross-validate 'Gender' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_VAL_082,Manager ID,INVALID_VALUE,Example 82: Entity ID duplicated across records,Ensure 'Manager ID' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_UNI_083,Phone Number,DUPLICATE,Example 83: Value does not match reference data,Identify and resolve duplicate entries in 'Phone Number' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_084,Gender,,Example 84: Value does not match reference data,"Fill missing 'Gender' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_UNI_085,Manager ID,DUPLICATE,Example 85: Value does not match reference data,Identify and resolve duplicate entries in 'Manager ID' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_VAL_086,Manager ID,INVALID_VALUE,Example 86: Date field is before expected lower limit,Ensure 'Manager ID' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_ACC_087,Nationality,APPROXIMATE,Example 87: Date field is before expected lower limit,Validate the 'Nationality' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_UNI_088,Job Title,DUPLICATE,Example 88: Date field is before expected lower limit,Identify and resolve duplicate entries in 'Job Title' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_089,Contract Dates,,Example 89: Date field is before expected lower limit,"Fill missing 'Contract Dates' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_TIM_090,Position Assignment,OLD_DATA,"Example 90: Format does not meet standard (e.g., missing @ in email)",Update stale 'Position Assignment' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_UNI_091,Nationality,DUPLICATE,Example 91: Hierarchical data shows circular references,Identify and resolve duplicate entries in 'Nationality' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_VAL_092,Contract Dates,INVALID_VALUE,Example 92: Field is missing for active employee,Ensure 'Contract Dates' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_TIM_093,Contract Dates,OLD_DATA,Example 93: Field is missing for active employee,Update stale 'Contract Dates' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_ACC_094,Gender,APPROXIMATE,Example 94: Value does not match reference data,Validate the 'Gender' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_TIM_095,Phone Number,OLD_DATA,Example 95: Field is missing for active employee,Update stale 'Phone Number' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_VAL_096,Position Assignment,INVALID_VALUE,Example 96: Field is missing for active employee,Ensure 'Position Assignment' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_UNI_097,Job Title,DUPLICATE,Example 97: Hierarchical data shows circular references,Identify and resolve duplicate entries in 'Job Title' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_ACC_098,Time Profile,APPROXIMATE,Example 98: Date field is before expected lower limit,Validate the 'Time Profile' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_ACC_099,Gender,APPROXIMATE,Example 99: Hierarchical data shows circular references,Validate the 'Gender' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_UNI_100,Job Title,DUPLICATE,Example 100: Field is missing for active employee,Identify and resolve duplicate entries in 'Job Title' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_VAL_101,Time Profile,INVALID_VALUE,Example 101: Entity ID duplicated across records,Ensure 'Time Profile' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_VAL_102,Manager ID,INVALID_VALUE,"Example 102: Format does not meet standard (e.g., missing @ in email)",Ensure 'Manager ID' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_VAL_103,Time Profile,INVALID_VALUE,Example 103: Field is missing for active employee,Ensure 'Time Profile' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_TIM_104,Phone Number,OLD_DATA,Example 104: Field is missing for active employee,Update stale 'Phone Number' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_TIM_105,Contract Dates,OLD_DATA,Example 105: Field is missing for active employee,Update stale 'Contract Dates' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_UNI_106,Job Title,DUPLICATE,Example 106: Value does not match reference data,Identify and resolve duplicate entries in 'Job Title' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_VAL_107,Cost Center,INVALID_VALUE,Example 107: Field is missing for active employee,Ensure 'Cost Center' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_TIM_108,Job Title,OLD_DATA,Example 108: Field is missing for active employee,Update stale 'Job Title' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_CON_109,Phone Number,INCONSISTENT,Example 109: Value does not match reference data,"Cross-validate 'Phone Number' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_UNI_110,Contract Dates,DUPLICATE,Example 110: Value does not match reference data,Identify and resolve duplicate entries in 'Contract Dates' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_111,Time Profile,,Example 111: Field is missing for active employee,"Fill missing 'Time Profile' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_VAL_112,Manager ID,INVALID_VALUE,Example 112: Field is missing for active employee,Ensure 'Manager ID' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
